Сезон;Тур;Хозяева;Гости;Голы хозяев;Голы гостей;Дата матча;1хСтавка;1_а;Х_а;2_а;ТМ 2.5_а;ТБ 2.5_а;Winline;1_б;Х_б;2_б;ТМ 2.5_б;ТБ 2.5_б;Fonbet;1_в;Х_в;2_в;ТМ 2.5_в;ТБ 2.5_в;Турнир_1;Дата матча_1;Хозяева_1;Гости_1;Голы хозяев_1;Голы гостей_1;Турнир_2;Дата матча_2;Хозяева_2;Гости_2;Голы хозяев_2;Голы гостей_2;Турнир_3;Дата матча_3;Хозяева_3;Гости_3;Голы хозяев_3;Голы гостей_3;Турнир_4;Дата матча_4;Хозяева_4;Гости_4;Голы хозяев_4;Голы гостей_4;Турнир_5;Дата матча_5;Хозяева_5;Гости_5;Голы хозяев_5;Голы гостей_5;Дата матча_6;Хозяева_6;Гости_6;Голы хозяев_6;Голы гостей_6;Дата матча_7;Хозяева_7;Гости_7;Голы хозяев_7;Голы гостей_7;Дата матча_8;Хозяева_8;Гости_8;Голы хозяев_8;Голы гостей_8;Дата матча_9;Хозяева_9;Гости_9;Голы хозяев_9;Голы гостей_9;Дата матча_10;Хозяева_10;Гости_10;Голы хозяев_10;Голы гостей_10;Дата матча_11;Хозяева_11;Гости_11;Голы хозяев_11;Голы гостей_11;Дата матча_12;Хозяева_12;Гости_12;Голы хозяев_12;Голы гостей_12;Дата матча_13;Хозяева_13;Гости_13;Голы хозяев_13;Голы гостей_13;Дата матча_14;Хозяева_14;Гости_14;Голы хозяев_14;Голы гостей_14;Дата матча_15;Хозяева_15;Гости_15;Голы хозяев_15;Голы гостей_15;Дата матча_16;Хозяева_16;Гости_16;Голы хозяев_16;Голы гостей_16;Дата матча_17;Хозяева_17;Гости_17;Голы хозяев_17;Голы гостей_17;Дата матча_18;Хозяева_18;Гости_18;Голы хозяев_18;Голы гостей_18;Дата матча_19;Хозяева_19;Гости_19;Голы хозяев_19;Голы гостей_19;Название команды_1;Позиция_1;Перспектива_1;Игры_1;Победы_1;Ничьи_1;Поражения_1;Забитые голы_1;Пропущенные голы_1;очки +3 позиции_1;очки +2 позиции_1;очки +1 позиции_1;очки_1;очки -1 позиции_1;очки -2 позиции_1;очки -3 позиции_1;Название команды_2;Позиция_2;Перспектива_2;Игры_2;Победы_2;Ничьи_2;Поражения_2;Забитые голы_2;Пропущенные голы_2;очки +3 позиции_2;очки +2 позиции_2;очки +1 позиции_2;очки_2;очки -1 позиции_2;очки -2 позиции_2;очки -3 позиции_2
2020-2021;38-й тур;Аталанта;Милан;0;2;Матч завершен 23 мая 2021;1хСтавка;2.27;4.44;2.73;2.79;1.46;Winline;2.37;3.85;2.75;2.69;1.46;Fonbet;2.35;4.00;2.85;—;—;Серия А 2020-2021;23.01.21;Милан;Аталанта;0;3;Серия А 2019-2020;24.07.20;Милан;Аталанта;1;1;Серия А 2019-2020;22.12.19;Аталанта;Милан;5;0;Серия А 2018-2019;16.02.19;Аталанта;Милан;1;3;Серия А 2018-2019;23.09.18;Милан;Аталанта;2;2;15.05.21;Дженоа;Аталанта;3;4;12.05.21;Аталанта;Беневенто;2;0;09.05.21;Парма;Аталанта;2;5;02.05.21;Сассуоло;Аталанта;1;1;25.04.21;Аталанта;Болонья;5;0;22.04.21;Рома;Аталанта;1;1;18.04.21;Аталанта;Ювентус;1;0;16.05.21;Милан;Кальяри;0;0;12.05.21;Торино;Милан;0;7;09.05.21;Ювентус;Милан;0;3;01.05.21;Милан;Беневенто;2;0;26.04.21;Лацио;Милан;3;0;21.04.21;Милан;Сассуоло;1;2;18.04.21;Милан;Дженоа;2;1;Аталанта;2;Лига Чемпионов;37;23;9;5;90;45;0;0;91;78;76;76;75;Милан;3;Лига Чемпионов;37;23;7;7;72;41;0;91;78;76;0;75;68
2020-2021;38-й тур;Болонья;Ювентус;1;4;Матч завершен 23 мая 2021;1хСтавка;10.50;5.94;1.30;3.40;1.34;Winline;10.00;6.63;1.26;3.05;1.37;Fonbet;12.00;6.50;1.25;—;—;Серия А 2020-2021;24.01.21;Ювентус;Болонья;2;0;Серия А 2019-2020;22.06.20;Болонья;Ювентус;0;2;Серия А 2019-2020;19.10.19;Ювентус;Болонья;2;1;Серия А 2018-2019;24.02.19;Болонья;Ювентус;0;1;Серия А 2018-2019;26.09.18;Ювентус;Болонья;2;0;17.05.21;Верона;Болонья;2;2;12.05.21;Болонья;Дженоа;0;2;08.05.21;Удинезе;Болонья;1;1;02.05.21;Болонья;Фиорентина;3;3;25.04.21;Аталанта;Болонья;5;0;21.04.21;Болонья;Торино;1;1;18.04.21;Болонья;Специя;4;1;15.05.21;Ювентус;Интер;3;2;12.05.21;Сассуоло;Ювентус;1;3;09.05.21;Ювентус;Милан;0;3;02.05.21;Удинезе;Ювентус;1;2;25.04.21;Фиорентина;Ювентус;1;1;21.04.21;Ювентус;Парма;3;1;18.04.21;Аталанта;Ювентус;1;0;Болонья;12;;37;10;11;16;50;61;52;44;42;41;40;40;38;Ювентус;5;Лига Европы;37;22;9;6;73;37;78;76;76;75;68;61;59
2020-2021;38-й тур;Наполи;Верона;1;1;Матч завершен 23 мая 2021;1хСтавка;1.26 ;6.83;10.70;3.40;1.34;Winline;1.28;6.52;8.82;3.13;1.36;Fonbet;1.25;6.50;10.50;—;—;Серия А 2020-2021;24.01.21;Верона;Наполи;3;1;Серия А 2019-2020;23.06.20;Верона;Наполи;0;2;Серия А 2019-2020;19.10.19;Наполи;Верона;2;0;Серия А 2017-2018;06.01.18;Наполи;Верона;2;0;Серия А 2017-2018;19.08.17;Верона;Наполи;1;3;16.05.21;Фиорентина;Наполи;0;2;11.05.21;Наполи;Удинезе;5;1;08.05.21;Специя;Наполи;1;4;02.05.21;Наполи;Кальяри;1;1;26.04.21;Торино;Наполи;0;2;22.04.21;Наполи;Лацио;5;2;18.04.21;Наполи;Интер;1;1;17.05.21;Верона;Болонья;2;2;13.05.21;Кротоне;Верона;2;1;09.05.21;Верона;Торино;1;1;01.05.21;Верона;Специя;1;1;25.04.21;Интер;Верона;1;0;20.04.21;Верона;Фиорентина;1;2;17.04.21;Сампдория;Верона;3;1;Наполи;4;Лига Чемпионов;37;24;4;9;85;40;91;78;76;76;75;68;61;Верона;10;;37;11;11;15;45;47;61;59;52;44;42;41;40
2020-2021;38-й тур;Сассуоло;Лацио;2;0;Матч завершен 23 мая 2021;1хСтавка;1.73;4.94;4.00;2.93;1.43;Winline;1.75;4.32;4.14;2.83;1.42;Fonbet;1.75;4.30;4.20;—;—;Серия А 2020-2021;24.01.21;Лацио;Сассуоло;2;1;Серия А 2019-2020;11.07.20;Лацио;Сассуоло;1;2;Серия А 2019-2020;24.11.19;Сассуоло;Лацио;1;2;Серия А 2018-2019;07.04.19;Лацио;Сассуоло;2;2;Серия А 2018-2019;11.11.18;Сассуоло;Лацио;1;1;16.05.21;Парма;Сассуоло;1;3;12.05.21;Сассуоло;Ювентус;1;3;09.05.21;Дженоа;Сассуоло;1;2;02.05.21;Сассуоло;Аталанта;1;1;24.04.21;Сассуоло;Сампдория;1;0;21.04.21;Милан;Сассуоло;1;2;17.04.21;Сассуоло;Фиорентина;3;1;18.05.21;Лацио;Торино;0;0;15.05.21;Рома;Лацио;2;0;12.05.21;Лацио;Парма;1;0;08.05.21;Фиорентина;Лацио;2;0;02.05.21;Лацио;Дженоа;4;3;26.04.21;Лацио;Милан;3;0;22.04.21;Наполи;Лацио;5;2;Сассуоло;8;;37;16;11;10;62;56;75;68;61;59;52;44;42;Лацио;6;Лига Европы;37;21;5;11;61;53;76;76;75;68;61;59;52
2020-2021;38-й тур;Специя;Рома;2;2;Матч завершен 23 мая 2021;1хСтавка;5.57;4.66;1.57;3.66;1.30;Winline;4.79;4.77;1.60;3.37;1.32;Fonbet;5.00;4.50;1.60;—;—;Серия А 2020-2021;23.01.21;Рома;Специя;4;3;Кубок Италии 2020-2021;19.01.21;Рома;Специя;0;3;Кубок Италии 2015-2016;16.12.15;Рома;Специя;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.05.21;Специя;Торино;4;1;12.05.21;Сампдория;Специя;2;2;08.05.21;Специя;Наполи;1;4;01.05.21;Верона;Специя;1;1;24.04.21;Дженоа;Специя;2;0;21.04.21;Специя;Интер;1;1;18.04.21;Болонья;Специя;4;1;15.05.21;Рома;Лацио;2;0;12.05.21;Интер;Рома;3;1;09.05.21;Рома;Кротоне;5;0;02.05.21;Сампдория;Рома;2;0;25.04.21;Кальяри;Рома;3;2;22.04.21;Рома;Аталанта;1;1;18.04.21;Торино;Рома;3;1;Специя;15;;37;9;11;17;50;70;41;40;40;38;37;36;32;Рома;7;Лига конференций;37;18;7;12;66;56;76;75;68;61;59;52;44
2020-2021;38-й тур;Торино;Беневенто;1;1;Матч завершен 23 мая 2021;1хСтавка;1.59;4.57;5.46;2.93;1.43;Winline;1.59;4.48;4.91;2.68;1.45;Fonbet;1.65;4.50;4.50;2.35;1.60;Серия А 2020-2021;22.01.21;Беневенто;Торино;2;2;Серия А 2017-2018;28.01.18;Торино;Беневенто;3;0;Серия А 2017-2018;10.09.17;Беневенто;Торино;0;1;0;0;0;0;0;0;0;0;0;0;0;0;18.05.21;Лацио;Торино;0;0;15.05.21;Специя;Торино;4;1;12.05.21;Торино;Милан;0;7;09.05.21;Верона;Торино;1;1;03.05.21;Торино;Парма;1;0;26.04.21;Торино;Наполи;0;2;21.04.21;Болонья;Торино;1;1;16.05.21;Беневенто;Кротоне;1;1;12.05.21;Аталанта;Беневенто;2;0;09.05.21;Беневенто;Кальяри;1;3;01.05.21;Милан;Беневенто;2;0;25.04.21;Беневенто;Удинезе;2;4;21.04.21;Дженоа;Беневенто;2;2;18.04.21;Лацио;Беневенто;5;3;Торино;17;;37;7;15;15;49;68;40;38;37;36;32;23;20;Беневенто;18;Вылет в Серию B;37;7;11;19;39;74;38;37;36;32;23;20;0
2020-2021;38-й тур;Интер;Удинезе;5;1;Матч завершен 23 мая 2021;1хСтавка;1.46;4.86;7.07;2.82;1.45;Winline;1.50;4.84;5.87;2.60;1.49;Fonbet;1.50;4.50;6.50;—;—;Серия А 2020-2021;23.01.21;Удинезе;Интер;0;0;Серия А 2019-2020;02.02.20;Удинезе;Интер;0;2;Серия А 2019-2020;14.09.19;Интер;Удинезе;1;0;Серия А 2018-2019;04.05.19;Удинезе;Интер;0;0;Серия А 2018-2019;15.12.18;Интер;Удинезе;1;0;15.05.21;Ювентус;Интер;3;2;12.05.21;Интер;Рома;3;1;08.05.21;Интер;Сампдория;5;1;01.05.21;Кротоне;Интер;0;2;25.04.21;Интер;Верона;1;0;21.04.21;Специя;Интер;1;1;18.04.21;Наполи;Интер;1;1;16.05.21;Удинезе;Сампдория;0;1;11.05.21;Наполи;Удинезе;5;1;08.05.21;Удинезе;Болонья;1;1;02.05.21;Удинезе;Ювентус;1;2;25.04.21;Беневенто;Удинезе;2;4;21.04.21;Удинезе;Кальяри;0;1;17.04.21;Кротоне;Удинезе;1;2;Интер;1;Лига Чемпионов;37;27;7;3;84;34;0;0;0;88;78;76;76;Удинезе;13;;37;10;10;17;41;53;44;42;41;40;0;38;37
2020-2021;38-й тур;Кальяри;Дженоа;0;1;Матч завершен 22 мая 2021;1хСтавка;1.94;4.08;3.69;2.58;1.53;Winline;1.80;3.85;4.15;2.43;1.53;Fonbet;2.00;3.70;3.70;2.45;1.55;Серия А 2020-2021;24.01.21;Дженоа;Кальяри;1;0;Серия А 2019-2020;09.02.20;Дженоа;Кальяри;1;0;Серия А 2019-2020;20.09.19;Кальяри;Дженоа;3;1;Серия А 2018-2019;18.05.19;Дженоа;Кальяри;1;1;Серия А 2018-2019;26.12.18;Кальяри;Дженоа;1;0;16.05.21;Милан;Кальяри;0;0;12.05.21;Кальяри;Фиорентина;0;0;09.05.21;Беневенто;Кальяри;1;3;02.05.21;Наполи;Кальяри;1;1;25.04.21;Кальяри;Рома;3;2;21.04.21;Удинезе;Кальяри;0;1;17.04.21;Кальяри;Парма;4;3;15.05.21;Дженоа;Аталанта;3;4;12.05.21;Болонья;Дженоа;0;2;09.05.21;Дженоа;Сассуоло;1;2;02.05.21;Лацио;Дженоа;4;3;24.04.21;Дженоа;Специя;2;0;21.04.21;Дженоа;Беневенто;2;2;18.04.21;Милан;Дженоа;2;1;Кальяри;16;;37;9;10;18;43;58;39;39;38;37;36;32;22;Дженоа;14;;37;9;12;16;46;58;41;40;0;39;38;37;36
2020-2021;38-й тур;Кротоне;Фиорентина;0;0;Матч завершен 22 мая 2021;1хСтавка;3.68;4.43;1.87;3.48;1.33;Winline;3.69;4.25;1.82;3.14;1.34;Fonbet;3.70;4.20;1.85;—;—;Серия А 2020-2021;23.01.21;Фиорентина;Кротоне;2;1;Серия А 2017-2018;31.03.18;Фиорентина;Кротоне;2;0;Серия А 2017-2018;29.10.17;Кротоне;Фиорентина;2;1;Серия А 2016-2017;19.03.17;Кротоне;Фиорентина;0;1;Серия А 2016-2017;26.10.16;Фиорентина;Кротоне;1;1;16.05.21;Беневенто;Кротоне;1;1;13.05.21;Кротоне;Верона;2;1;09.05.21;Рома;Кротоне;5;0;01.05.21;Кротоне;Интер;0;2;24.04.21;Парма;Кротоне;3;4;21.04.21;Кротоне;Сампдория;0;1;17.04.21;Кротоне;Удинезе;1;2;16.05.21;Фиорентина;Наполи;0;2;12.05.21;Кальяри;Фиорентина;0;0;08.05.21;Фиорентина;Лацио;2;0;02.05.21;Болонья;Фиорентина;3;3;25.04.21;Фиорентина;Ювентус;1;1;20.04.21;Верона;Фиорентина;1;2;17.04.21;Сассуоло;Фиорентина;3;1;Кротоне;19;Вылет в Серию B;37;6;4;27;45;92;37;36;32;22;20;0;0;Фиорентина;13;;37;9;12;16;47;59;44;41;40;39;0;38;37
2020-2021;38-й тур;Сампдория;Парма;3;0;Матч завершен 22 мая 2021;1хСтавка;1.71;4.71;4.30;2.85;1.45;Winline;1.64;4.41;4.57;2.67;1.45;Fonbet;1.70;4.40;4.30;—;—;Серия А 2020-2021;24.01.21;Парма;Сампдория;0;2;Серия А 2019-2020;19.07.20;Парма;Сампдория;2;3;Серия А 2019-2020;08.12.19;Сампдория;Парма;0;1;Серия А 2018-2019;05.05.19;Парма;Сампдория;3;3;Серия А 2018-2019;16.12.18;Сампдория;Парма;2;0;16.05.21;Удинезе;Сампдория;0;1;12.05.21;Сампдория;Специя;2;2;08.05.21;Интер;Сампдория;5;1;02.05.21;Сампдория;Рома;2;0;24.04.21;Сассуоло;Сампдория;1;0;21.04.21;Кротоне;Сампдория;0;1;17.04.21;Сампдория;Верона;3;1;16.05.21;Парма;Сассуоло;1;3;12.05.21;Лацио;Парма;1;0;09.05.21;Парма;Аталанта;2;5;03.05.21;Торино;Парма;1;0;24.04.21;Парма;Кротоне;3;4;21.04.21;Ювентус;Парма;3;1;17.04.21;Кальяри;Парма;4;3;Сампдория;9;;37;14;7;16;49;54;68;61;59;49;44;41;40;Парма;20;Вылет в Серию B;37;3;11;23;39;80;36;32;22;20;0;0;0
2020-2021;25-й тур;Лацио;Торино;0;0;Матч завершен 18 мая 2021;1хСтавка;2.19;3.36;3.61;2.26;1.72;Winline;2.37;3.22;3.20;2.13;1.74;Fonbet;2.30;3.05;3.55;2.30;1.62;Серия А 2020-2021;01.11.20;Торино;Лацио;3;4;Серия А 2019-2020;30.06.20;Торино;Лацио;1;2;Серия А 2019-2020;30.10.19;Лацио;Торино;4;0;Серия А 2018-2019;26.05.19;Торино;Лацио;3;1;Серия А 2018-2019;29.12.18;Лацио;Торино;1;1;15.05.21;Рома;Лацио;2;0;12.05.21;Лацио;Парма;1;0;08.05.21;Фиорентина;Лацио;2;0;02.05.21;Лацио;Дженоа;4;3;26.04.21;Лацио;Милан;3;0;22.04.21;Наполи;Лацио;5;2;18.04.21;Лацио;Беневенто;5;3;15.05.21;Специя;Торино;4;1;12.05.21;Торино;Милан;0;7;09.05.21;Верона;Торино;1;1;03.05.21;Торино;Парма;1;0;26.04.21;Торино;Наполи;0;2;21.04.21;Болонья;Торино;1;1;18.04.21;Торино;Рома;3;1;Лацио;6;Лига Европы;36;21;4;11;61;53;76;76;75;67;61;59;49;Торино;17;;36;7;14;15;49;68;39;38;37;35;32;22;20
2020-2021;37-й тур;Верона;Болонья;2;2;Матч завершен 17 мая 2021;1хСтавка;2.06;4.01;3.39;2.55;1.54;Winline;2.13;3.66;3.21;2.39;1.55;Fonbet;2.15;3.80;3.40;2.30;1.62;Серия А 2020-2021;16.01.21;Болонья;Верона;1;0;Серия А 2019-2020;19.01.20;Болонья;Верона;1;1;Серия А 2019-2020;25.08.19;Верона;Болонья;1;1;Серия А 2017-2018;15.04.18;Болонья;Верона;2;0;Серия А 2017-2018;20.11.17;Верона;Болонья;2;3;13.05.21;Кротоне;Верона;2;1;09.05.21;Верона;Торино;1;1;01.05.21;Верона;Специя;1;1;25.04.21;Интер;Верона;1;0;20.04.21;Верона;Фиорентина;1;2;17.04.21;Сампдория;Верона;3;1;11.04.21;Верона;Лацио;0;1;12.05.21;Болонья;Дженоа;0;2;08.05.21;Удинезе;Болонья;1;1;02.05.21;Болонья;Фиорентина;3;3;25.04.21;Аталанта;Болонья;5;0;21.04.21;Болонья;Торино;1;1;18.04.21;Болонья;Специя;4;1;11.04.21;Рома;Болонья;1;0;Верона;10;;36;11;10;15;43;45;61;59;49;43;40;40;39;Болонья;11;;36;10;10;16;48;59;59;49;43;40;0;39;39
2020-2021;37-й тур;Милан;Кальяри;0;0;Матч завершен 16 мая 2021;1хСтавка;1.29;6.08;10.90;2.69;1.49;Winline;1.35;5.51;8.07;2.53;1.51;Fonbet;1.30;6.00;9.00;2.40;1.57;Серия А 2020-2021;18.01.21;Кальяри;Милан;0;2;Серия А 2019-2020;01.08.20;Милан;Кальяри;3;0;Серия А 2019-2020;11.01.20;Кальяри;Милан;0;2;Серия А 2018-2019;10.02.19;Милан;Кальяри;3;0;Серия А 2018-2019;16.09.18;Кальяри;Милан;1;1;12.05.21;Торино;Милан;0;7;09.05.21;Ювентус;Милан;0;3;01.05.21;Милан;Беневенто;2;0;26.04.21;Лацио;Милан;3;0;21.04.21;Милан;Сассуоло;1;2;18.04.21;Милан;Дженоа;2;1;10.04.21;Парма;Милан;1;3;12.05.21;Кальяри;Фиорентина;0;0;09.05.21;Беневенто;Кальяри;1;3;02.05.21;Наполи;Кальяри;1;1;25.04.21;Кальяри;Рома;3;2;21.04.21;Удинезе;Кальяри;0;1;17.04.21;Кальяри;Парма;4;3;11.04.21;Интер;Кальяри;1;0;Милан;4;Лига Чемпионов;36;23;6;7;72;41;88;78;76;75;75;67;61;Кальяри;16;;36;9;9;18;43;58;39;39;38;36;35;32;22
2020-2021;37-й тур;Парма;Сассуоло;1;3;Матч завершен 16 мая 2021;1хСтавка;6.85;4.88;1.48;2.82;1.41;Winline;6.35;5.21;1.42;2.88;1.39;Fonbet;6.30;4.70;1.48;2.35;1.60;Серия А 2020-2021;17.01.21;Сассуоло;Парма;1;1;Серия А 2019-2020;16.02.20;Сассуоло;Парма;0;1;Серия А 2019-2020;25.09.19;Парма;Сассуоло;1;0;Серия А 2018-2019;14.04.19;Сассуоло;Парма;0;0;Серия А 2018-2019;25.11.18;Парма;Сассуоло;2;1;12.05.21;Лацио;Парма;1;0;09.05.21;Парма;Аталанта;2;5;03.05.21;Торино;Парма;1;0;24.04.21;Парма;Кротоне;3;4;21.04.21;Ювентус;Парма;3;1;17.04.21;Кальяри;Парма;4;3;10.04.21;Парма;Милан;1;3;12.05.21;Сассуоло;Ювентус;1;3;09.05.21;Дженоа;Сассуоло;1;2;02.05.21;Сассуоло;Аталанта;1;1;24.04.21;Сассуоло;Сампдория;1;0;21.04.21;Милан;Сассуоло;1;2;17.04.21;Сассуоло;Фиорентина;3;1;12.04.21;Беневенто;Сассуоло;0;1;Парма;20;Вылет в Серию B;36;3;11;22;38;77;35;32;22;20;0;0;0;Сассуоло;8;;36;15;11;10;59;55;75;67;61;56;49;43;40
2020-2021;37-й тур;Беневенто;Кротоне;1;1;Матч завершен 16 мая 2021;1хСтавка;1.40;5.64;7.18;3.00;1.41;Winline;1.38;5.42;6.83;2.95;1.38;Fonbet;1.45;5.00;6.20;—;—;Серия А 2020-2021;17.01.21;Кротоне;Беневенто;4;1;Серия А 2017-2018;18.02.18;Беневенто;Кротоне;3;2;Серия А 2017-2018;24.09.17;Кротоне;Беневенто;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12.05.21;Аталанта;Беневенто;2;0;09.05.21;Беневенто;Кальяри;1;3;01.05.21;Милан;Беневенто;2;0;25.04.21;Беневенто;Удинезе;2;4;21.04.21;Дженоа;Беневенто;2;2;18.04.21;Лацио;Беневенто;5;3;12.04.21;Беневенто;Сассуоло;0;1;13.05.21;Кротоне;Верона;2;1;09.05.21;Рома;Кротоне;5;0;01.05.21;Кротоне;Интер;0;2;24.04.21;Парма;Кротоне;3;4;21.04.21;Кротоне;Сампдория;0;1;17.04.21;Кротоне;Удинезе;1;2;10.04.21;Специя;Кротоне;3;2;Беневенто;18;Вылет в Серию B;36;7;10;19;38;73;38;36;35;31;21;20;0;Кротоне;19;Вылет в Серию B;36;6;3;27;44;91;36;35;31;21;20;0;0
2020-2021;37-й тур;Удинезе;Сампдория;0;1;Матч завершен 16 мая 2021;1хСтавка;2.41;3.59;2.97;2.20;1.70;Winline;2.38;3.46;2.89;2.23;1.65;Fonbet;2.30;3.45;3.05;2.20;1.67;Серия А 2020-2021;16.01.21;Сампдория;Удинезе;2;1;Серия А 2019-2020;12.07.20;Удинезе;Сампдория;1;3;Серия А 2019-2020;24.11.19;Сампдория;Удинезе;2;1;Серия А 2018-2019;26.01.19;Сампдория;Удинезе;4;0;Серия А 2018-2019;26.08.18;Удинезе;Сампдория;1;0;11.05.21;Наполи;Удинезе;5;1;08.05.21;Удинезе;Болонья;1;1;02.05.21;Удинезе;Ювентус;1;2;25.04.21;Беневенто;Удинезе;2;4;21.04.21;Удинезе;Кальяри;0;1;17.04.21;Кротоне;Удинезе;1;2;10.04.21;Удинезе;Торино;0;1;12.05.21;Сампдория;Специя;2;2;08.05.21;Интер;Сампдория;5;1;02.05.21;Сампдория;Рома;2;0;24.04.21;Сассуоло;Сампдория;1;0;21.04.21;Кротоне;Сампдория;0;1;17.04.21;Сампдория;Верона;3;1;11.04.21;Сампдория;Наполи;0;2;Удинезе;12;;36;10;10;16;41;52;46;43;40;40;39;39;38;Сампдория;9;;36;13;7;16;48;54;67;61;56;46;43;40;40
2020-2021;37-й тур;Фиорентина;Наполи;0;2;Матч завершен 16 мая 2021;1хСтавка;7.31;4.86;1.45;2.99;1.41;Winline;6.17;5.05;1.46;2.74;1.45;Fonbet;6.70;4.80;1.45;2.45;1.55;Серия А 2020-2021;17.01.21;Наполи;Фиорентина;6;0;Серия А 2019-2020;18.01.20;Наполи;Фиорентина;0;2;Серия А 2019-2020;24.08.19;Фиорентина;Наполи;3;4;Серия А 2018-2019;09.02.19;Фиорентина;Наполи;0;0;Серия А 2018-2019;15.09.18;Наполи;Фиорентина;1;0;12.05.21;Кальяри;Фиорентина;0;0;08.05.21;Фиорентина;Лацио;2;0;02.05.21;Болонья;Фиорентина;3;3;25.04.21;Фиорентина;Ювентус;1;1;20.04.21;Верона;Фиорентина;1;2;17.04.21;Сассуоло;Фиорентина;3;1;11.04.21;Фиорентина;Аталанта;2;3;11.05.21;Наполи;Удинезе;5;1;08.05.21;Специя;Наполи;1;4;02.05.21;Наполи;Кальяри;1;1;26.04.21;Торино;Наполи;0;2;22.04.21;Наполи;Лацио;5;2;18.04.21;Наполи;Интер;1;1;11.04.21;Сампдория;Наполи;0;2;Фиорентина;13;;36;9;12;15;47;57;43;40;40;39;39;38;36;Наполи;5;Лига Европы;36;23;4;9;83;40;78;75;75;73;67;61;56
2020-2021;37-й тур;Рома;Лацио;2;0;Матч завершен 15 мая 2021;1хСтавка;3.32;4.31;2.01;2.96;1.42;Winline;3.36;4.10;2.03;2.96;1.41;Fonbet;3.25;3.90;2.05;2.40;1.57;Серия А 2020-2021;15.01.21;Лацио;Рома;3;0;Серия А 2019-2020;26.01.20;Рома;Лацио;1;1;Серия А 2019-2020;01.09.19;Лацио;Рома;1;1;Серия А 2018-2019;02.03.19;Лацио;Рома;3;0;Серия А 2018-2019;29.09.18;Рома;Лацио;3;1;12.05.21;Интер;Рома;3;1;09.05.21;Рома;Кротоне;5;0;02.05.21;Сампдория;Рома;2;0;25.04.21;Кальяри;Рома;3;2;22.04.21;Рома;Аталанта;1;1;18.04.21;Торино;Рома;3;1;11.04.21;Рома;Болонья;1;0;12.05.21;Лацио;Парма;1;0;08.05.21;Фиорентина;Лацио;2;0;02.05.21;Лацио;Дженоа;4;3;26.04.21;Лацио;Милан;3;0;22.04.21;Наполи;Лацио;5;2;18.04.21;Лацио;Беневенто;5;3;11.04.21;Верона;Лацио;0;1;Рома;7;Лига конференций;36;17;7;12;64;56;75;73;67;58;56;46;43;Лацио;6;Лига Европы;35;21;4;10;61;51;75;75;73;67;58;56;46
2020-2021;37-й тур;Ювентус;Интер;3;2;Матч завершен 15 мая 2021;1хСтавка;2.17;3.89;3.21;2.26;1.72;Winline;2.18;3.63;3.32;2.21;1.72;Fonbet;2.15;3.80;3.35;2.25;1.65;Кубок Италии 2020-2021;09.02.21;Ювентус;Интер;0;0;Кубок Италии 2020-2021;02.02.21;Интер;Ювентус;1;2;Серия А 2020-2021;17.01.21;Интер;Ювентус;2;0;Серия А 2019-2020;08.03.20;Ювентус;Интер;2;0;Серия А 2019-2020;06.10.19;Интер;Ювентус;1;2;12.05.21;Сассуоло;Ювентус;1;3;09.05.21;Ювентус;Милан;0;3;02.05.21;Удинезе;Ювентус;1;2;25.04.21;Фиорентина;Ювентус;1;1;21.04.21;Ювентус;Парма;3;1;18.04.21;Аталанта;Ювентус;1;0;11.04.21;Ювентус;Дженоа;3;1;12.05.21;Интер;Рома;3;1;08.05.21;Интер;Сампдория;5;1;01.05.21;Кротоне;Интер;0;2;25.04.21;Интер;Верона;1;0;21.04.21;Специя;Интер;1;1;18.04.21;Наполи;Интер;1;1;11.04.21;Интер;Кальяри;1;0;Ювентус;5;Лига Европы;36;21;9;6;70;35;78;75;73;72;67;58;56;Интер;1;Лига Чемпионов;36;27;7;2;82;31;0;0;0;88;78;75;73
2020-2021;37-й тур;Дженоа;Аталанта;3;4;Матч завершен 15 мая 2021;1хСтавка;13.10;8.68;1.19;3.24;1.36;Winline;14.00;7.78;1.17;3.14;1.34;Fonbet;15.00;7.70;1.17;—;—;Серия А 2020-2021;17.01.21;Аталанта;Дженоа;0;0;Серия А 2019-2020;02.02.20;Аталанта;Дженоа;2;2;Серия А 2019-2020;15.09.19;Дженоа;Аталанта;1;2;Серия А 2018-2019;11.05.19;Аталанта;Дженоа;2;1;Серия А 2018-2019;22.12.18;Дженоа;Аталанта;3;1;12.05.21;Болонья;Дженоа;0;2;09.05.21;Дженоа;Сассуоло;1;2;02.05.21;Лацио;Дженоа;4;3;24.04.21;Дженоа;Специя;2;0;21.04.21;Дженоа;Беневенто;2;2;18.04.21;Милан;Дженоа;2;1;11.04.21;Ювентус;Дженоа;3;1;12.05.21;Аталанта;Беневенто;2;0;09.05.21;Парма;Аталанта;2;5;02.05.21;Сассуоло;Аталанта;1;1;25.04.21;Аталанта;Болонья;5;0;22.04.21;Рома;Аталанта;1;1;18.04.21;Аталанта;Ювентус;1;0;11.04.21;Фиорентина;Аталанта;2;3;Дженоа;14;;36;9;12;15;43;54;40;40;39;39;36;35;35;Аталанта;2;Лига Чемпионов;36;22;9;5;86;42;0;0;88;75;0;73;72
