Сезон;Тур;Хоязяева;Гости;Голы хозяев;Голы гостей;Дата матча;1хСтавка;1_а;Х_а;2_а;ТМ 2.5_а;ТБ 2.5_а;Winline;1_б;Х_б;2_б;ТМ 2.5_б;ТБ 2.5_б;Fonbet;1_в;Х_в;2_в;ТМ 2.5_в;ТБ 2.5_в;Турнир_1;Дата матча_1;Хозяева_1;Гости_1;Голы хозяев_1;Голы гостей_1;Турнир_2;Дата матча_2;Хозяева_2;Гости_2;Голы хозяев_2;Голы гостей_2;Турнир_3;Дата матча_3;Хозяева_3;Гости_3;Голы хозяев_3;Голы гостей_3;Турнир_4;Дата матча_4;Хозяева_4;Гости_4;Голы хозяев_4;Голы гостей_4;Турнир_5;Дата матча_5;Хозяева_5;Гости_5;Голы хозяев_5;Голы гостей_5;Дата матча_6;Хозяева_6;Гости_6;Голы хозяев_6;Голы гостей_6;Дата матча_7;Хозяева_7;Гости_7;Голы хозяев_7;Голы гостей_7;Дата матча_8;Хозяева_8;Гости_8;Голы хозяев_8;Голы гостей_8;Дата матча_9;Хозяева_9;Гости_9;Голы хозяев_9;Голы гостей_9;Дата матча_10;Хозяева_10;Гости_10;Голы хозяев_10;Голы гостей_10;Дата матча_11;Хозяева_11;Гости_11;Голы хозяев_11;Голы гостей_11;Дата матча_12;Хозяева_12;Гости_12;Голы хозяев_12;Голы гостей_12;Дата матча_13;Хозяева_13;Гости_13;Голы хозяев_13;Голы гостей_13;Дата матча_14;Хозяева_14;Гости_14;Голы хозяев_14;Голы гостей_14;Дата матча_15;Хозяева_15;Гости_15;Голы хозяев_15;Голы гостей_15;Дата матча_16;Хозяева_16;Гости_16;Голы хозяев_16;Голы гостей_16;Дата матча_17;Хозяева_17;Гости_17;Голы хозяев_17;Голы гостей_17;Дата матча_18;Хозяева_18;Гости_18;Голы хозяев_18;Голы гостей_18;Дата матча_19;Хозяева_19;Гости_19;Голы хозяев_19;Голы гостей_19;Название команды_1;Позиция_1;Перспектива_1;Игры_1;Победы_1;Ничьи_1;Поражения_1;Забитые голы_1;Пропущенные голы_1;очки +3 позиции_1;очки +2 позиции_1;очки +1 позиции_1;очки_1;очки -1 позиции_1;очки -2 позиции_1;очки -3 позиции_1;Название команды_2;Позиция_2;Перспектива_2;Игры_2;Победы_2;Ничьи_2;Поражения_2;Забитые голы_2;Пропущенные голы_2;очки +3 позиции_2;очки +2 позиции_2;очки +1 позиции_2;очки_2;очки -1 позиции_2;очки -2 позиции_2;очки -3 позиции_2
2020-2021;38-й тур;Севилья;Алавес;1;0;Матч завершен 23 мая 2021;1хСтавка;1.37;5.34;8.75;2.55;1.54;Winline;1.35;5.46;8.22;2.45;1.54;Fonbet;1.40;5.10;7.50;—;—;Ла Лига 2020-2021;19.01.21;Алавес;Севилья;1;2;Ла Лига 2019-2020;02.02.20;Севилья;Алавес;1;1;Ла Лига 2019-2020;15.09.19;Алавес;Севилья;0;1;Ла Лига 2018-2019;04.04.19;Севилья;Алавес;2;0;Ла Лига 2018-2019;02.12.18;Алавес;Севилья;1;1;16.05.21;Вильярреал;Севилья;4;0;12.05.21;Севилья;Валенсия;1;0;09.05.21;РеалМадрид;Севилья;2;2;03.05.21;Севилья;Атлетик Бильбао;0;1;25.04.21;Севилья;Гранада;2;1;21.04.21;Леванте;Севилья;0;1;18.04.21;РеалСосьедад;Севилья;1;2;16.05.21;Алавес;Гранада;4;2;11.05.21;Эльче;Алавес;0;2;08.05.21;Алавес;Леванте;2;2;01.05.21;Эйбар;Алавес;3;0;24.04.21;Валенсия;Алавес;1;1;21.04.21;Алавес;Вильярреал;2;1;18.04.21;Алавес;Уэска;1;0;Севилья;4;Лига Чемпионов;37;23;5;9;52;33;86;84;79;74;62;61;58;Алавес;16;;37;9;11;17;36;56;43;41;0;38;36;34;31
2020-2021;38-й тур;Гранада;Хетафе;0;0;Матч завершен 23 мая 2021;1хСтавка;2.86;3.58;2.49;1.91;1.99;Winline;2.95;3.18;2.49;1.78;2.04;Fonbet;2.80;3.30;2.60;1.85;1.95;Ла Лига 2020-2021;25.10.20;Хетафе;Гранада;0;1;Ла Лига 2019-2020;12.06.20;Гранада;Хетафе;2;1;Ла Лига 2019-2020;31.10.19;Хетафе;Гранада;3;1;Ла Лига 2015-2016;23.01.16;Гранада;Хетафе;3;2;Ла Лига 2015-2016;30.08.15;Хетафе;Гранада;1;2;16.05.21;Алавес;Гранада;4;2;13.05.21;Гранада;Реал Мадрид;1;4;10.05.21;Бетис;Гранада;2;1;02.05.21;Гранада;Кадис;0;1;29.04.21;Барселона;Гранада;1;2;25.04.21;Севилья;Гранада;2;1;22.04.21;Гранада;Эйбар;4;1;16.05.21;Хетафе;Леванте;2;1;12.05.21;Сельта;Хетафе;1;0;09.05.21;Хетафе;Эйбар;0;1;02.05.21;Вильярреал;Хетафе;1;0;25.04.21;Уэска;Хетафе;0;2;22.04.21;Барселона;Хетафе;5;2;18.04.21;Хетафе;Реал Мадрид;0;0;Гранада;10;;37;13;6;18;47;65;58;53;46;45;44;44;43;Хетафе;16;;37;9;10;18;28;43;43;41;38;37;36;34;31
2020-2021;38-й тур;Вальядолид;Атлетико Мадрид;1;2;Матч завершен 22 мая 2021;1хСтавка;10.40;5.66;1.32;2.50;1.56;Winline;8.65;5.45;1.34;2.31;1.60;Fonbet;9.00;5.00;1.35;2.25;1.65;Ла Лига 2020-2021;05.12.20;Атлетико Мадрид;Вальядолид;2;0;Ла Лига 2019-2020;20.06.20;Атлетико Мадрид;Вальядолид;1;0;Ла Лига 2019-2020;06.10.19;Вальядолид;Атлетико Мадрид;0;0;Ла Лига 2018-2019;27.04.19;Атлетико Мадрид;Вальядолид;1;0;Ла Лига 2018-2019;15.12.18;Вальядолид;Атлетико Мадрид;2;3;16.05.21;РеалСосьедад;Вальядолид;4;1;13.05.21;Вальядолид;Вильярреал;0;2;09.05.21;Валенсия;Вальядолид;3;0;02.05.21;Вальядолид;Бетис;1;1;28.04.21;АтлетикБильбао;Вальядолид;2;2;24.04.21;Вальядолид;Кадис;1;1;21.04.21;Эльче;Вальядолид;1;1;16.05.21;АтлетикоМадрид;Осасуна;2;1;12.05.21;АтлетикоМадрид;Реал Сосьедад;2;1;08.05.21;Барселона;Атлетико Мадрид;0;0;01.05.21;Эльче;Атлетико Мадрид;0;1;25.04.21;АтлетикБильбао;Атлетико Мадрид;2;1;22.04.21;АтлетикоМадрид;Уэска;2;0;18.04.21;АтлетикоМадрид;Эйбар;5;0;Вальядолид;19;Вылет в Сегунду;37;5;16;16;33;55;37;33;33;31;30;0;0;Атлетико Мадрид;1;Лига Чемпионов;37;25;8;4;65;24;0;0;0;83;81;76;74
2020-2021;38-й тур;Осасуна;Реал Сосьедад;0;1;Матч завершен 22 мая 2021;1хСтавка;5.95;4.66;1.55;2.42;1.63;Winline;5.82;4.61;1.50;2.36;1.56;Fonbet;5.30;4.30;1.60;2.35;1.60;Ла Лига 2020-2021;03.01.21;Реал Сосьедад;Осасуна;1;1;Ла Лига 2019-2020;14.06.20;Реал Сосьедад;Осасуна;1;1;Кубок Испании 2019-2020;29.01.20;Реал Сосьедад;Осасуна;3;1;Ла Лига 2019-2020;22.12.19;Осасуна;Реал Сосьедад;3;4;Ла Лига 2016-2017;05.02.17;Реал Сосьедад;Осасуна;3;2;16.05.21;АтлетикоМадрид;Осасуна;2;1;11.05.21;Осасуна;Кадис;3;2;08.05.21;АтлетикБильбао;Осасуна;2;2;01.05.21;РеалМадрид;Осасуна;2;0;25.04.21;Сельта;Осасуна;2;1;21.04.21;Осасуна;Валенсия;3;1;18.04.21;Осасуна;Эльче;2;0;16.05.21;РеалСосьедад;Вальядолид;4;1;12.05.21;АтлетикоМадрид;Реал Сосьедад;2;1;07.05.21;РеалСосьедад;Эльче;2;0;01.05.21;Уэска;Реал Сосьедад;1;0;26.04.21;Эйбар;Реал Сосьедад;0;1;22.04.21;РеалСосьедад;Сельта;2;1;18.04.21;РеалСосьедад;Севилья;1;2;Осасуна;11;;37;11;11;15;37;47;53;46;45;44;44;42;41;Реал Сосьедад;5;Лига Европы;37;16;11;10;58;38;81;76;74;59;58;58;53
2020-2021;38-й тур;Реал Мадрид;Вильярреал;2;1;Матч завершен 22 мая 2021;1хСтавка;1.53;4.67;6.14;2.72;1.48;Fonbet;1.60;4.50;5.30;—;—;0;0;0;0;0;0;Ла Лига 2020-2021;21.11.20;Вильярреал;Реал Мадрид;1;1;Ла Лига 2019-2020;16.07.20;Реал Мадрид;Вильярреал;2;1;Ла Лига 2019-2020;01.09.19;Вильярреал;Реал Мадрид;2;2;Ла Лига 2018-2019;05.05.19;Реал Мадрид;Вильярреал;3;2;Ла Лига 2018-2019;03.01.19;Вильярреал;Реал Мадрид;2;2;16.05.21;АтлетикБильбао;Реал Мадрид;0;1;13.05.21;Гранада;Реал Мадрид;1;4;09.05.21;РеалМадрид;Севилья;2;2;01.05.21;РеалМадрид;Осасуна;2;0;24.04.21;РеалМадрид;Бетис;0;0;21.04.21;Кадис;Реал Мадрид;0;3;18.04.21;Хетафе;Реал Мадрид;0;0;16.05.21;Вильярреал;Севилья;4;0;13.05.21;Вальядолид;Вильярреал;0;2;09.05.21;Вильярреал;Сельта;2;4;02.05.21;Вильярреал;Хетафе;1;0;25.04.21;Вильярреал;Барселона;1;2;21.04.21;Алавес;Вильярреал;2;1;18.04.21;Леванте;Вильярреал;1;5;Реал Мадрид;2;Лига Чемпионов;37;24;9;4;65;27;0;0;83;81;76;74;59;Вильярреал;7;Лига конференций;37;15;13;9;59;42;74;59;0;58;53;46;45
2020-2021;38-й тур;Сельта;Бетис;2;3;Матч завершен 22 мая 2021;1хСтавка;3.28;3.76;2.19;2.15;1.78;Winline;3.20;3.53;2.18;2.10;1.73;Fonbet;3.10;3.50;2.30;2.15;1.70;Ла Лига 2020-2021;20.01.21;Бетис;Сельта;2;1;Ла Лига 2019-2020;04.07.20;Сельта;Бетис;1;1;Ла Лига 2019-2020;30.10.19;Бетис;Сельта;2;1;Ла Лига 2018-2019;10.03.19;Сельта;Бетис;0;1;Ла Лига 2018-2019;04.11.18;Бетис;Сельта;3;3;16.05.21;Барселона;Сельта;1;2;12.05.21;Сельта;Хетафе;1;0;09.05.21;Вильярреал;Сельта;2;4;30.04.21;Сельта;Леванте;2;0;25.04.21;Сельта;Осасуна;2;1;22.04.21;РеалСосьедад;Сельта;2;1;18.04.21;Кадис;Сельта;0;0;16.05.21;Бетис;Уэска;1;0;13.05.21;Эйбар;Бетис;1;1;10.05.21;Бетис;Гранада;2;1;02.05.21;Вальядолид;Бетис;1;1;24.04.21;РеалМадрид;Бетис;0;0;21.04.21;Бетис;Атлетик Бильбао;0;0;18.04.21;Бетис;Валенсия;2;2;Сельта;8;;37;14;11;12;53;54;59;58;58;53;46;45;44;Бетис;6;Лига Европы;37;16;10;11;47;48;76;74;59;58;0;53;46
2020-2021;38-й тур;Уэска;Валенсия;0;0;Матч завершен 22 мая 2021;1хСтавка;1.76;4.08;4.59;2.06;1.84;Winline;1.75;3.86;4.68;1.97;1.86;Fonbet;1.85;3.70;4.20;2.00;1.80;Ла Лига 2020-2021;26.09.20;Валенсия;Уэска;1;1;Ла Лига 2018-2019;05.05.19;Уэска;Валенсия;2;6;Ла Лига 2018-2019;23.12.18;Валенсия;Уэска;2;1;0;0;0;0;0;0;0;0;0;0;0;0;16.05.21;Бетис;Уэска;1;0;12.05.21;Уэска;Атлетик Бильбао;1;0;08.05.21;Кадис;Уэска;2;1;01.05.21;Уэска;Реал Сосьедад;1;0;25.04.21;Уэска;Хетафе;0;2;22.04.21;АтлетикоМадрид;Уэска;2;0;18.04.21;Алавес;Уэска;1;0;16.05.21;Валенсия;Эйбар;4;1;12.05.21;Севилья;Валенсия;1;0;09.05.21;Валенсия;Вальядолид;3;0;02.05.21;Валенсия;Барселона;2;3;24.04.21;Валенсия;Алавес;1;1;21.04.21;Осасуна;Валенсия;3;1;18.04.21;Бетис;Валенсия;2;2;Уэска;17;;37;7;12;18;34;53;41;38;37;33;33;31;30;Валенсия;13;;37;10;12;15;50;53;45;44;44;42;41;38;37
2020-2021;38-й тур;Эйбар;Барселона;0;1;Матч завершен 22 мая 2021;1хСтавка;5.22;4.59;1.61;2.99;1.41;Winline;5.01;4.67;1.58;2.77;1.44;Fonbet;4.40;4.50;1.70;—;—;Ла Лига 2020-2021;29.12.20;Барселона;Эйбар;1;1;Ла Лига 2019-2020;22.02.20;Барселона;Эйбар;5;0;Ла Лига 2019-2020;19.10.19;Эйбар;Барселона;0;3;Ла Лига 2018-2019;19.05.19;Эйбар;Барселона;2;2;Ла Лига 2018-2019;13.01.19;Барселона;Эйбар;3;0;16.05.21;Валенсия;Эйбар;4;1;13.05.21;Эйбар;Бетис;1;1;09.05.21;Хетафе;Эйбар;0;1;01.05.21;Эйбар;Алавес;3;0;26.04.21;Эйбар;Реал Сосьедад;0;1;22.04.21;Гранада;Эйбар;4;1;18.04.21;АтлетикоМадрид;Эйбар;5;0;16.05.21;Барселона;Сельта;1;2;11.05.21;Леванте;Барселона;3;3;08.05.21;Барселона;Атлетико Мадрид;0;0;02.05.21;Валенсия;Барселона;2;3;29.04.21;Барселона;Гранада;1;2;25.04.21;Вильярреал;Барселона;1;2;22.04.21;Барселона;Хетафе;5;2;Эйбар;20;Вылет в Сегунду;37;6;12;19;29;51;33;33;31;30;0;0;0;Барселона;3;Лига Чемпионов;37;23;7;7;84;38;0;83;81;76;74;59;58
2020-2021;38-й тур;Эльче;Атлетик Бильбао;2;0;Матч завершен 22 мая 2021;1хСтавка;2.10;3.64 ;3.64;1.90;2.00;Winline;2.10;3.43;3.48;1.80;2.01;Fonbet;2.05;3.60;3.60;1.85;1.95;Ла Лига 2020-2021;03.01.21;Атлетик Бильбао;Эльче;1;0;Кубок Испании 2019-2020;22.01.20;Эльче;Атлетик Бильбао;1;1;Ла Лига 2014-2015;17.05.15;Эльче;Атлетик Бильбао;2;3;Ла Лига 2014-2015;11.01.15;Атлетик Бильбао;Эльче;1;2;Ла Лига 2013-2014;25.03.14;Эльче;Атлетик Бильбао;0;0;16.05.21;Кадис;Эльче;1;3;11.05.21;Эльче;Алавес;0;2;07.05.21;РеалСосьедад;Эльче;2;0;01.05.21;Эльче;Атлетико Мадрид;0;1;24.04.21;Эльче;Леванте;1;0;21.04.21;Эльче;Вальядолид;1;1;18.04.21;Осасуна;Эльче;2;0;16.05.21;АтлетикБильбао;Реал Мадрид;0;1;12.05.21;Уэска;Атлетик Бильбао;1;0;08.05.21;АтлетикБильбао;Осасуна;2;2;03.05.21;Севилья;Атлетик Бильбао;0;1;28.04.21;АтлетикБильбао;Вальядолид;2;2;25.04.21;АтлетикБильбао;Атлетико Мадрид;2;1;21.04.21;Бетис;Атлетик Бильбао;0;0;Эльче;18;Вылет в Сегунду;37;7;12;18;32;55;38;37;33;33;31;30;0;Атлетик Бильбао;9;;37;11;13;13;46;40;58;58;53;46;45;44;44
2020-2021;38-й тур;Леванте;Кадис;2;2;Матч завершен 21 мая 2021;1хСтавка;1.66;4.51;4.76;2.47;1.57;Winline;1.70;4.15;4.63;2.35;1.59;Fonbet;1.75;4.00;4.50;2.25;1.65;Ла Лига 2020-2021;19.01.21;Кадис;Леванте;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.05.21;Хетафе;Леванте;2;1;11.05.21;Леванте;Барселона;3;3;08.05.21;Алавес;Леванте;2;2;30.04.21;Сельта;Леванте;2;0;24.04.21;Эльче;Леванте;1;0;21.04.21;Леванте;Севилья;0;1;18.04.21;Леванте;Вильярреал;1;5;16.05.21;Кадис;Эльче;1;3;11.05.21;Осасуна;Кадис;3;2;08.05.21;Кадис;Уэска;2;1;02.05.21;Гранада;Кадис;0;1;24.04.21;Вальядолид;Кадис;1;1;21.04.21;Кадис;Реал Мадрид;0;3;18.04.21;Кадис;Сельта;0;0;Леванте;14;;37;9;13;15;44;55;44;43;42;40;38;37;33;Кадис;12;;37;11;10;16;34;56;46;45;44;43;42;40;38
2020-2021;37-й тур;Алавес;Гранада;4;2;Матч завершен 16 мая 2021;1хСтавка;1.85;3.50;4.88;1.57;2.47;Winline;1.80;3.42;4.82;1.56;2.36;Fonbet;1.85;3.40;4.70;1.60 ;2.35;Ла Лига 2020-2021;20.09.20;Гранада;Алавес;2;1;Ла Лига 2019-2020;01.07.20;Алавес;Гранада;0;2;Ла Лига 2019-2020;07.12.19;Гранада;Алавес;3;0;Ла Лига 2016-2017;01.03.17;Гранада;Алавес;2;1;Ла Лига 2016-2017;26.09.16;Алавес;Гранада;3;1;11.05.21;Эльче;Алавес;0;2;08.05.21;Алавес;Леванте;2;2;01.05.21;Эйбар;Алавес;3;0;24.04.21;Валенсия;Алавес;1;1;21.04.21;Алавес;Вильярреал;2;1;18.04.21;Алавес;Уэска;1;0;10.04.21;АтлетикБильбао;Алавес;0;0;13.05.21;Гранада;Реал Мадрид;1;4;10.05.21;Бетис;Гранада;2;1;02.05.21;Гранада;Кадис;0;1;29.04.21;Барселона;Гранада;1;2;25.04.21;Севилья;Гранада;2;1;22.04.21;Гранада;Эйбар;4;1;11.04.21;Вальядолид;Гранада;1;2;Алавес;15;;36;8;11;17;32;54;43;40;39;35;34;33;31;Гранада;10;;36;13;6;17;45;61;55;50;46;45;44;43;40
2020-2021;37-й тур;Атлетик Бильбао;Реал Мадрид;0;1;Матч завершен 16 мая 2021;1хСтавка;6.14;4.61;1.54;2.30;1.65;Winline;5.36;4.47;1.58;2.33;1.59;Fonbet;6.50;4.50;1.55;2.30;1.62;Суперкубок Испании 2021;14.01.21;Реал Мадрид;Атлетик Бильбао;1;2;Ла Лига 2020-2021;16.12.20;Реал Мадрид;Атлетик Бильбао;3;1;Ла Лига 2019-2020;05.07.20;Атлетик Бильбао;Реал Мадрид;0;1;Ла Лига 2019-2020;22.12.19;Реал Мадрид;Атлетик Бильбао;0;0;Ла Лига 2018-2019;21.04.19;Реал Мадрид;Атлетик Бильбао;3;0;12.05.21;Уэска;Атлетик Бильбао;1;0;08.05.21;АтлетикБильбао;Осасуна;2;2;03.05.21;Севилья;Атлетик Бильбао;0;1;28.04.21;АтлетикБильбао;Вальядолид;2;2;25.04.21;АтлетикБильбао;Атлетико Мадрид;2;1;21.04.21;Бетис;Атлетик Бильбао;0;0;10.04.21;АтлетикБильбао;Алавес;0;0;13.05.21;Гранада;Реал Мадрид;1;4;09.05.21;РеалМадрид;Севилья;2;2;01.05.21;РеалМадрид;Осасуна;2;0;24.04.21;РеалМадрид;Бетис;0;0;21.04.21;Кадис;Реал Мадрид;0;3;18.04.21;Хетафе;Реал Мадрид;0;0;10.04.21;РеалМадрид;Барселона;2;1;Атлетик Бильбао;9;;36;11;13;12;46;39;55;55;50;46;45;44;43;Реал Мадрид;2;Лига Чемпионов;36;23;9;4;64;27;0;0;80;78;76;74;56
2020-2021;37-й тур;Атлетико Мадрид;Осасуна;2;1;Матч завершен 16 мая 2021;1хСтавка;1.24;6.43;13.90;2.30;1.65;Winline;1.25;6.25;11.00;2.36;1.58;Fonbet;1.20;7.00;15.00;2.20;1.67;Ла Лига 2020-2021;31.10.20;Осасуна;Атлетико Мадрид;1;3;Ла Лига 2019-2020;17.06.20;Осасуна;Атлетико Мадрид;0;5;Ла Лига 2019-2020;14.12.19;Атлетико Мадрид;Осасуна;2;0;Ла Лига 2016-2017;15.04.17;Атлетико Мадрид;Осасуна;3;0;Ла Лига 2016-2017;27.11.16;Осасуна;Атлетико Мадрид;0;3;12.05.21;АтлетикоМадрид;Реал Сосьедад;2;1;08.05.21;Барселона;Атлетико Мадрид;0;0;01.05.21;Эльче;Атлетико Мадрид;0;1;25.04.21;АтлетикБильбао;Атлетико Мадрид;2;1;22.04.21;АтлетикоМадрид;Уэска;2;0;18.04.21;АтлетикоМадрид;Эйбар;5;0;11.04.21;Бетис;Атлетико Мадрид;1;1;11.05.21;Осасуна;Кадис;3;2;08.05.21;АтлетикБильбао;Осасуна;2;2;01.05.21;РеалМадрид;Осасуна;2;0;25.04.21;Сельта;Осасуна;2;1;21.04.21;Осасуна;Валенсия;3;1;18.04.21;Осасуна;Эльче;2;0;11.04.21;Вильярреал;Осасуна;1;2;Атлетико Мадрид;1;Лига Чемпионов;36;24;8;4;63;23;0;0;0;80;78;76;74;Осасуна;11;;36;11;11;14;36;45;50;46;45;44;43;40;39
2020-2021;37-й тур;Барселона;Сельта;1;2;Матч завершен 16 мая 2021;1хСтавка;1.24;7.20;11.30;3.75;1.29;Winline;1.20;7.76;11.00;3.72;1.24;Fonbet;1.25;6.50;11.00;—;—;Ла Лига 2020-2021;01.10.20;Сельта;Барселона;0;3;Ла Лига 2019-2020;27.06.20;Сельта;Барселона;2;2;Ла Лига 2019-2020;09.11.19;Барселона;Сельта;4;1;Ла Лига 2018-2019;04.05.19;Сельта;Барселона;2;0;Ла Лига 2018-2019;22.12.18;Барселона;Сельта;2;0;11.05.21;Леванте;Барселона;3;3;08.05.21;Барселона;Атлетико Мадрид;0;0;02.05.21;Валенсия;Барселона;2;3;29.04.21;Барселона;Гранада;1;2;25.04.21;Вильярреал;Барселона;1;2;22.04.21;Барселона;Хетафе;5;2;10.04.21;РеалМадрид;Барселона;2;1;12.05.21;Сельта;Хетафе;1;0;09.05.21;Вильярреал;Сельта;2;4;30.04.21;Сельта;Леванте;2;0;25.04.21;Сельта;Осасуна;2;1;22.04.21;РеалСосьедад;Сельта;2;1;18.04.21;Кадис;Сельта;0;0;12.04.21;Сельта;Севилья;3;4;Барселона;3;Лига Чемпионов;36;23;7;6;83;36;0;80;78;76;74;56;55;Сельта;8;;36;13;11;12;51;53;56;55;55;50;46;45;44
2020-2021;37-й тур;Бетис;Уэска;1;0;Матч завершен 16 мая 2021;1хСтавка;1.99;3.68;3.88;1.80;2.12;Winline;2.07;3.39;3.61;1.78;2.04;Fonbet;2.00;3.40;3.90;1.85;1.95;Ла Лига 2020-2021;11.01.21;Уэска;Бетис;0;2;Ла Лига 2018-2019;12.05.19;Бетис;Уэска;2;1;Ла Лига 2018-2019;05.01.19;Уэска;Бетис;2;1;0;0;0;0;0;0;0;0;0;0;0;0;13.05.21;Эйбар;Бетис;1;1;10.05.21;Бетис;Гранада;2;1;02.05.21;Вальядолид;Бетис;1;1;24.04.21;РеалМадрид;Бетис;0;0;21.04.21;Бетис;Атлетик Бильбао;0;0;18.04.21;Бетис;Валенсия;2;2;11.04.21;Бетис;Атлетико Мадрид;1;1;12.05.21;Уэска;Атлетик Бильбао;1;0;08.05.21;Кадис;Уэска;2;1;01.05.21;Уэска;Реал Сосьедад;1;0;25.04.21;Уэска;Хетафе;0;2;22.04.21;АтлетикоМадрид;Уэска;2;0;18.04.21;Алавес;Уэска;1;0;09.04.21;Уэска;Эльче;3;1;Бетис;6;Лига Европы;36;15;10;11;46;48;76;74;56;55;55;50;46;Уэска;17;;36;7;12;17;34;52;39;35;34;33;31;30;30
2020-2021;37-й тур;Валенсия;Эйбар;4;1;Матч завершен 16 мая 2021;1хСтавка;2.50;3.50;2.93;1.88;2.02;Winline;2.38;3.37;3.05;1.83;2.00;Fonbet;2.50;3.30;2.90;1.85;1.95;Ла Лига 2020-2021;07.12.20;Эйбар;Валенсия;0;0;Ла Лига 2019-2020;25.06.20;Эйбар;Валенсия;1;0;Ла Лига 2019-2020;04.01.20;Валенсия;Эйбар;1;0;Ла Лига 2018-2019;28.04.19;Валенсия;Эйбар;0;1;Ла Лига 2018-2019;15.12.18;Эйбар;Валенсия;1;1;12.05.21;Севилья;Валенсия;1;0;09.05.21;Валенсия;Вальядолид;3;0;02.05.21;Валенсия;Барселона;2;3;24.04.21;Валенсия;Алавес;1;1;21.04.21;Осасуна;Валенсия;3;1;18.04.21;Бетис;Валенсия;2;2;11.04.21;Валенсия;Реал Сосьедад;2;2;13.05.21;Эйбар;Бетис;1;1;09.05.21;Хетафе;Эйбар;0;1;01.05.21;Эйбар;Алавес;3;0;26.04.21;Эйбар;Реал Сосьедад;0;1;22.04.21;Гранада;Эйбар;4;1;18.04.21;АтлетикоМадрид;Эйбар;5;0;10.04.21;Эйбар;Леванте;0;1;Валенсия;14;;36;9;12;15;46;52;44;43;40;39;35;34;33;Эйбар;20;Вылет в Сегунду;36;6;12;18;28;47;33;31;0;30;0;0;0
2020-2021;37-й тур;Вильярреал;Севилья;4;0;Матч завершен 16 мая 2021;1хСтавка;2.15;3.78;3.32; 2.20;1.70;Winline;2.26;3.61;3.08;2.26;1.66;Fonbet;2.20;3.60;3.20;2.08;1.75;Ла Лига 2020-2021;29.12.20;Севилья;Вильярреал;2;0;Ла Лига 2019-2020;22.06.20;Вильярреал;Севилья;2;2;Ла Лига 2019-2020;15.12.19;Севилья;Вильярреал;1;2;Ла Лига 2018-2019;17.02.19;Вильярреал;Севилья;3;0;Ла Лига 2018-2019;26.08.18;Севилья;Вильярреал;0;0;13.05.21;Вальядолид;Вильярреал;0;2;09.05.21;Вильярреал;Сельта;2;4;02.05.21;Вильярреал;Хетафе;1;0;25.04.21;Вильярреал;Барселона;1;2;21.04.21;Алавес;Вильярреал;2;1;18.04.21;Леванте;Вильярреал;1;5;11.04.21;Вильярреал;Осасуна;1;2;12.05.21;Севилья;Валенсия;1;0;09.05.21;РеалМадрид;Севилья;2;2;03.05.21;Севилья;Атлетик Бильбао;0;1;25.04.21;Севилья;Гранада;2;1;21.04.21;Леванте;Севилья;0;1;18.04.21;РеалСосьедад;Севилья;1;2;12.04.21;Сельта;Севилья;3;4;Вильярреал;7;Лига конференций;36;14;13;9;55;42;74;56;55;55;50;46;45;Севилья;4;Лига Чемпионов;36;23;5;8;52;29;80;78;76;74;56;55;55
2020-2021;37-й тур;Кадис;Эльче;1;3;Матч завершен 16 мая 2021;1хСтавка;3.67;3.31;2.19;1.62;2.37;Winline;3.41;3.20;2.22;1.59;2.29;Fonbet;3.50 ;3.10;2.25;1.55;2.45;Ла Лига 2020-2021;28.11.20;Эльче;Кадис;1;1;Сегунда 2019-2020;08.12.19;Кадис;Эльче;0;0;Сегунда 2018-2019;09.03.19;Эльче;Кадис;1;0;Сегунда 2018-2019;04.11.18;Кадис;Эльче;5;1;Сегунда 2017-2018;04.06.17;Кадис;Эльче;2;1;11.05.21;Осасуна;Кадис;3;2;08.05.21;Кадис;Уэска;2;1;02.05.21;Гранада;Кадис;0;1;24.04.21;Вальядолид;Кадис;1;1;21.04.21;Кадис;Реал Мадрид;0;3;18.04.21;Кадис;Сельта;0;0;10.04.21;Хетафе;Кадис;0;1;11.05.21;Эльче;Алавес;0;2;07.05.21;РеалСосьедад;Эльче;2;0;01.05.21;Эльче;Атлетико Мадрид;0;1;24.04.21;Эльче;Леванте;1;0;21.04.21;Эльче;Вальядолид;1;1;18.04.21;Осасуна;Эльче;2;0;09.04.21;Уэска;Эльче;3;1;Кадис;12;;36;11;10;15;33;53;46;45;44;43;40;39;35;Эльче;19;Вылет в Сегунду;36;6;12;18;29;54;34;33;31;30;0;0;0
