Сезон;Тур;Хозяева;Гости;Голы хозяев;Голы гостей;Дата матча;1хСтавка;1_а;Х_а;2_а;ТМ 2.5_а;ТБ 2.5_а;Winline;1_б;Х_б;2_б;ТМ 2.5_б;ТБ 2.5_б;Fonbet;1_в;Х_в;2_в;ТМ 2.5_в;ТБ 2.5_в;Турнир_1;Дата матча_1;Хозяева_1;Гости_1;Голы хозяев_1;Голы гостей_1;Турнир_2;Дата матча_2;Хозяева_2;Гости_2;Голы хозяев_2;Голы гостей_2;Турнир_3;Дата матча_3;Хозяева_3;Гости_3;Голы хозяев_3;Голы гостей_3;Турнир_4;Дата матча_4;Хозяева_4;Гости_4;Голы хозяев_4;Голы гостей_4;Турнир_5;Дата матча_5;Хозяева_5;Гости_5;Голы хозяев_5;Голы гостей_5;Дата матча_6;Хозяева_6;Гости_6;Голы хозяев_6;Голы гостей_6;Дата матча_7;Хозяева_7;Гости_7;Голы хозяев_7;Голы гостей_7;Дата матча_8;Хозяева_8;Гости_8;Голы хозяев_8;Голы гостей_8;Дата матча_9;Хозяева_9;Гости_9;Голы хозяев_9;Голы гостей_9;Дата матча_10;Хозяева_10;Гости_10;Голы хозяев_10;Голы гостей_10;Дата матча_11;Хозяева_11;Гости_11;Голы хозяев_11;Голы гостей_11;Дата матча_12;Хозяева_12;Гости_12;Голы хозяев_12;Голы гостей_12;Дата матча_13;Хозяева_13;Гости_13;Голы хозяев_13;Голы гостей_13;Дата матча_14;Хозяева_14;Гости_14;Голы хозяев_14;Голы гостей_14;Дата матча_15;Хозяева_15;Гости_15;Голы хозяев_15;Голы гостей_15;Дата матча_16;Хозяева_16;Гости_16;Голы хозяев_16;Голы гостей_16;Дата матча_17;Хозяева_17;Гости_17;Голы хозяев_17;Голы гостей_17;Дата матча_18;Хозяева_18;Гости_18;Голы хозяев_18;Голы гостей_18;Дата матча_19;Хозяева_19;Гости_19;Голы хозяев_19;Голы гостей_19;Название команды_1;Позиция_1;Перспектива_1;Игры_1;Победы_1;Ничьи_1;Поражения_1;Забитые голы_1;Пропущенные голы_1;очки +3 позиции_1;очки +2 позиции_1;очки +1 позиции_1;очки_1;очки -1 позиции_1;очки -2 позиции_1;очки -3 позиции_1;Название команды_2;Позиция_2;Перспектива_2;Игры_2;Победы_2;Ничьи_2;Поражения_2;Забитые голы_2;Пропущенные голы_2;очки +3 позиции_2;очки +2 позиции_2;очки +1 позиции_2;очки_2;очки -1 позиции_2;очки -2 позиции_2;очки -3 позиции_2
2020-2021;30-й тур;Уфа;Арсенал Тула;2;1;Матч завершен 16 мая 2021;1хСтавка;2.20;2.81;4.62;1.50;2.77;Winline;2.01;3.07;4.31;1.42;2.77;Fonbet;2.25;2.90;3.90;1.57;2.40;Российская Премьер-лига 2020-2021;14.08.20;Арсенал Тула;Уфа;2;3;Российская Премьер-лига 2019-2020;22.07.20;Уфа;Арсенал Тула;0;0;Российская Премьер-лига 2019-2020;11.08.19;Арсенал Тула;Уфа;1;0;Российская Премьер-лига 2018-2019;20.04.19;Уфа;Арсенал Тула;1;2;Российская Премьер-лига 2018-2019;05.10.18;Арсенал Тула;Уфа;1;1;08.05.21;Уфа;Зенит;0;0;01.05.21;ЦСКА;Уфа;1;1;25.04.21;Уфа;Сочи;2;3;18.04.21;Спартак;Уфа;0;3;10.04.21;Уфа;Ахмат;3;0;03.04.21;ДинамоМосква;Уфа;4;0;18.03.21;Уфа;Локомотив;0;1;08.05.21;АрсеналТула;Рубин;2;4;03.05.21;АрсеналТула;Спартак;1;2;25.04.21;Ростов;Арсенал Тула;1;0;18.04.21;АрсеналТула;Тамбов;4;0;11.04.21;АрсеналТула;Краснодар;1;0;04.04.21;Урал;Арсенал Тула;2;0;17.03.21;Ахмат;Арсенал Тула;2;0;Уфа;15;Вылет в ФНЛ;29;5;7;17;24;45;34;23;22;22;13;0;0;Арсенал Тула;13;;29;6;5;18;27;49;41;40;34;23;22;22;13
2020-2021;30-й тур;Ростов;Краснодар;1;3;Матч завершен 16 мая 2021;1хСтавка;2.92;3.68;2.42;2.15;1.78;Winline;2.92;3.57;2.37;2.19;1.70;Fonbet;2.75;3.50;2.50 ;1.93;1.87;Российская Премьер-лига 2020-2021;30.08.20;Краснодар;Ростов;1;1;Российская Премьер-лига 2019-2020;01.07.20;Ростов;Краснодар;1;1;Российская Премьер-лига 2019-2020;03.11.19;Краснодар;Ростов;2;2;Кубок Париматч Премьер 2019;30.06.19;Краснодар;Ростов;3;0;Российская Премьер-лига 2018-2019;05.05.19;Ростов;Краснодар;1;1;10.05.21;Урал;Ростов;1;0;02.05.21;Ростов;Тамбов;2;0;25.04.21;Ростов;Арсенал Тула;1;0;17.04.21;Локомотив;Ростов;4;1;10.04.21;Ростов;Рубин;0;1;04.04.21;Ростов;Спартак;2;3;17.03.21;Ротор;Ростов;0;4;08.05.21;ЦСКА;Краснодар;3;1;01.05.21;Краснодар;Сочи;1;3;25.04.21;Рубин;Краснодар;0;1;17.04.21;Краснодар;Зенит;2;2;11.04.21;АрсеналТула;Краснодар;1;0;03.04.21;Краснодар;Ахмат;0;5;18.03.21;Краснодар;Динамо Москва;2;3;Ростов;9;;29;13;4;12;36;32;50;47;44;43;39;38;34;Краснодар;11;;29;11;5;13;49;44;44;43;39;38;34;23;22
2020-2021;30-й тур;Ахмат;Спартак;2;2;Матч завершен 16 мая 2021;1хСтавка;3.72;3.86;2.00;2.18;1.76;Winline;3.78;3.67;1.97;2.17;1.71;Fonbet;3.85;3.70;1.95;2.00;1.80;Российская Премьер-лига 2020-2021;14.08.20;Спартак;Ахмат;2;0;Российская Премьер-лига 2019-2020;15.07.20;Спартак;Ахмат;3;0;Российская Премьер-лига 2019-2020;11.08.19;Ахмат;Спартак;1;3;Российская Премьер-лига 2018-2019;30.03.19;Ахмат;Спартак;1;3;Российская Премьер-лига 2018-2019;16.09.18;Спартак;Ахмат;1;2;07.05.21;Ахмат;Тамбов;3;1;01.05.21;Ротор;Ахмат;1;0;24.04.21;Урал;Ахмат;1;1;17.04.21;Ахмат;Химки;3;1;10.04.21;Уфа;Ахмат;3;0;03.04.21;Краснодар;Ахмат;0;5;17.03.21;Ахмат;Арсенал Тула;2;0;10.05.21;Спартак;Химки;2;1;03.05.21;АрсеналТула;Спартак;1;2;25.04.21;Спартак;ЦСКА;1;0;18.04.21;Спартак;Уфа;0;3;11.04.21;Локомотив;Спартак;2;0;04.04.21;Ростов;Спартак;2;3;18.03.21;Спартак;Урал;5;1;Ахмат;10;;29;11;6;12;34;36;47;44;43;39;38;34;23;Спартак;2;Лига Чемпионов;29;17;5;7;54;35;0;0;62;56;53;52;52
2020-2021;30-й тур;Динамо Москва;ЦСКА;3;2;Матч завершен 16 мая 2021;1хСтавка;3.26;3.56;2.27;1.96;1.94;Winline;3.22;3.54;2.21;1.96;1.87;Fonbet;3.10;3.60;2.35;1.85;1.95;Российская Премьер-лига 2020-2021;18.10.20;ЦСКА;Динамо Москва;3;1;Российская Премьер-лига 2019-2020;27.06.20;Динамо Москва;ЦСКА;0;0;Российская Премьер-лига 2019-2020;27.10.19;ЦСКА;Динамо Москва;0;1;Российская Премьер-лига 2018-2019;05.05.19;ЦСКА;Динамо Москва;2;2;Российская Премьер-лига 2018-2019;03.11.18;Динамо Москва;ЦСКА;0;0;08.05.21;Локомотив;Динамо Москва;0;0;01.05.21;Рубин;Динамо Москва;2;0;24.04.21;ДинамоМосква;Химки;0;1;17.04.21;Ротор;Динамо Москва;0;3;11.04.21;ДинамоМосква;Урал;2;2;03.04.21;ДинамоМосква;Уфа;4;0;18.03.21;Краснодар;Динамо Москва;2;3;08.05.21;ЦСКА;Краснодар;3;1;01.05.21;ЦСКА;Уфа;1;1;25.04.21;Спартак;ЦСКА;1;0;18.04.21;Сочи;ЦСКА;2;1;12.04.21;ЦСКА;Ротор;2;0;04.04.21;Тамбов;ЦСКА;1;2;17.03.21;ЦСКА;Зенит;2;3;Динамо Москва;7;;29;14;5;10;41;31;52;52;50;47;44;43;39;ЦСКА;6;;29;15;5;9;49;30;53;52;52;50;47;44;43
2020-2021;30-й тур;Локомотив;Урал;1;0;Матч завершен 16 мая 2021 ;1хСтавка;1.39;5.25;8.60;2.32;1.68;Winline;1.38;5.14;7.98;2.25;1.67;Fonbet;1.35;5.30;8.50;2.30;1.63;Российская Премьер-лига 2020-2021;19.08.20;Урал;Локомотив;1;1;Российская Премьер-лига 2019-2020;22.07.20;Урал;Локомотив;0;1;Российская Премьер-лига 2019-2020;11.08.19;Локомотив;Урал;4;0;Кубок России 2018-2019;22.05.19;Локомотив;Урал;1;0;Российская Премьер-лига 2018-2019;19.05.19;Урал;Локомотив;2;2;08.05.21;Локомотив;Динамо Москва;0;0;02.05.21;Зенит;Локомотив;6;1;24.04.21;Тамбов;Локомотив;2;5;17.04.21;Локомотив;Ростов;4;1;11.04.21;Локомотив;Спартак;2;0;03.04.21;Ротор;Локомотив;0;2;18.03.21;Уфа;Локомотив;0;1;10.05.21;Урал;Ростов;1;0;02.05.21;Химки;Урал;1;0;24.04.21;Урал;Ахмат;1;1;18.04.21;Урал;Рубин;0;1;11.04.21;ДинамоМосква;Урал;2;2;04.04.21;Урал;Арсенал Тула;2;0;18.03.21;Спартак;Урал;5;1;Локомотив;3;Лига Европы;29;16;5;8;44;35;0;62;56;53;52;52;50;Урал;12;;29;7;13;9;26;35;43;39;38;34;23;22;21
2020-2021;30-й тур;Тамбов;Зенит;1;5;Матч завершен 16 мая 2021;1хСтавка;23.00;12.00;1.10;4.10;1.22;Winline;26.00;13.00;1.06;4.56;1.17;Fonbet;30.00;12.00;1.08;—;—;Российская Премьер-лига 2020-2021;22.08.20;Зенит;Тамбов;4;1;Российская Премьер-лига 2019-2020;01.07.20;Тамбов;Зенит;1;2;Российская Премьер-лига 2019-2020;14.07.19;Зенит;Тамбов;2;1;0;0;0;0;0;0;0;0;0;0;0;0;07.05.21;Ахмат;Тамбов;3;1;02.05.21;Ростов;Тамбов;2;0;24.04.21;Тамбов;Локомотив;2;5;18.04.21;АрсеналТула;Тамбов;4;0;10.04.21;Химки;Тамбов;1;0;04.04.21;Тамбов;ЦСКА;1;2;19.03.21;Сочи;Тамбов;5;0;08.05.21;Уфа;Зенит;0;0;02.05.21;Зенит;Локомотив;6;1;24.04.21;Зенит;Ротор;6;0;17.04.21;Краснодар;Зенит;2;2;11.04.21;Сочи;Зенит;1;2;05.04.21;Зенит;Химки;2;0;17.03.21;ЦСКА;Зенит;2;3;Тамбов;16;Вылет в ФНЛ;29;3;4;22;18;60;23;22;21;13;0;0;0;Зенит;1;Лига Чемпионов;29;18;8;3;71;25;0;0;0;62;56;53;52
2020-2021;30-й тур;Рубин;Ротор;1;1;Матч завершен 16 мая 2021;1хСтавка;1.52;4.23;7.37;1.97;1.93;Winline;1.52;4.29;6.13;1.98;1.82;Fonbet;1.40;4.70;8.40;1.97;1.83;Российская Премьер-лига 2020-2021;27.09.20;Ротор;Рубин;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08.05.21;АрсеналТула;Рубин;2;4;01.05.21;Рубин;Динамо Москва;2;0;25.04.21;Рубин;Краснодар;0;1;18.04.21;Урал;Рубин;0;1;10.04.21;Ростов;Рубин;0;1;03.04.21;Рубин;Сочи;1;0;19.03.21;Рубин;Химки;1;3;07.05.21;Сочи;Ротор;2;1;01.05.21;Ротор;Ахмат;1;0;24.04.21;Зенит;Ротор;6;0;17.04.21;Ротор;Динамо Москва;0;3;12.04.21;ЦСКА;Ротор;2;0;03.04.21;Ротор;Локомотив;0;2;17.03.21;Ротор;Ростов;0;4;Рубин;4;Лига конференций;29;16;4;9;41;32;62;56;53;52;52;50;47;Ротор;15;Вылет в ФНЛ;29;5;6;18;14;51;34;23;22;21;13;0;0
2020-2021;30-й тур;Химки;Сочи;0;0;Матч завершен 16 мая 2021;1хСтавка;4.92;4.04;1.74;1.99;1.91;Winline;4.64;3.85;1.73;1.96;1.84;Fonbet;5.00;3.80;1.70;1.93;1.87;Российская Премьер-лига 2020-2021;14.08.20;Сочи;Химки;1;1;ФНЛ 2018-2019;18.11.18;Химки;Сочи;0;0;ФНЛ 2018-2019;29.07.18;Сочи;Химки;3;2;ФНЛ 2017-2018;16.03.18;Сочи;Химки;2;1;ФНЛ 2017-2018;27.08.17;Химки;Сочи;0;1;10.05.21;Спартак;Химки;2;1;02.05.21;Химки;Урал;1;0;24.04.21;ДинамоМосква;Химки;0;1;17.04.21;Ахмат;Химки;3;1;10.04.21;Химки;Тамбов;1;0;05.04.21;Зенит;Химки;2;0;19.03.21;Рубин;Химки;1;3;07.05.21;Сочи;Ротор;2;1;01.05.21;Краснодар;Сочи;1;3;25.04.21;Уфа;Сочи;2;3;18.04.21;Сочи;ЦСКА;2;1;11.04.21;Сочи;Зенит;1;2;03.04.21;Рубин;Сочи;1;0;19.03.21;Сочи;Тамбов;5;0;Химки;8;;29;13;5;11;35;39;52;50;47;44;43;39;38;Сочи;5;Лига конференций;29;15;7;7;49;33;56;53;52;52;50;47;44
2020-2021;29-й тур;Спартак;Химки;2;1;Матч завершен 10 мая 2021 ;1хСтавка;1.29;5.84;11.10;2.55;1.54;Winline;1.31;5.80;9.41;2.45;1.54;Fonbet;1.30;6.00;11.50;2.15;1.70;Российская Премьер-лига 2020-2021;17.10.20;Химки;Спартак;2;3;Российская Премьер-лига 2009;24.10.09;Химки;Спартак;0;3;Российская Премьер-лига 2009;13.06.09;Спартак;Химки;1;0;Российская Премьер-лига 2008;09.08.08;Спартак;Химки;1;1;Российская Премьер-лига 2008;29.03.08;Химки;Спартак;3;3;03.05.21;АрсеналТула;Спартак;1;2;25.04.21;Спартак;ЦСКА;1;0;18.04.21;Спартак;Уфа;0;3;11.04.21;Локомотив;Спартак;2;0;04.04.21;Ростов;Спартак;2;3;18.03.21;Спартак;Урал;5;1;13.03.21;ДинамоМосква;Спартак;1;2;02.05.21;Химки;Урал;1;0;24.04.21;ДинамоМосква;Химки;0;1;17.04.21;Ахмат;Химки;3;1;10.04.21;Химки;Тамбов;1;0;05.04.21;Зенит;Химки;2;0;19.03.21;Рубин;Химки;1;3;12.03.21;Химки;Ростов;1;0;Спартак;3;Лига Европы;28;16;5;7;52;34;0;62;53;53;52;52;50;Химки;8;;28;13;5;10;34;37;52;50;47;44;43;39;38
2020-2021;29-й тур;Урал;Ростов;1;0;Матч завершен 10 мая 2021;1хСтавка;3.37;3.21;2.37;1.61;2.38;Winline;2.91;3.07;2.59;1.57;2.34;Fonbet;2.90;3.10;2.60;1.62;2.30;Российская Премьер-лига 2020-2021;26.08.20;Ростов;Урал;1;0;Российская Премьер-лига 2019-2020;30.11.19;Ростов;Урал;0;0;Российская Премьер-лига 2019-2020;03.08.19;Урал;Ростов;2;2;Российская Премьер-лига 2018-2019;30.03.19;Ростов;Урал;2;1;Российская Премьер-лига 2018-2019;17.09.18;Урал;Ростов;1;1;02.05.21;Химки;Урал;1;0;24.04.21;Урал;Ахмат;1;1;18.04.21;Урал;Рубин;0;1;11.04.21;ДинамоМосква;Урал;2;2;04.04.21;Урал;Арсенал Тула;2;0;18.03.21;Спартак;Урал;5;1;13.03.21;Урал;Ротор;1;0;02.05.21;Ростов;Тамбов;2;0;25.04.21;Ростов;Арсенал Тула;1;0;17.04.21;Локомотив;Ростов;4;1;10.04.21;Ростов;Рубин;0;1;04.04.21;Ростов;Спартак;2;3;17.03.21;Ротор;Ростов;0;4;12.03.21;Химки;Ростов;1;0;Урал;12;;28;6;13;9;25;35;43;39;38;31;23;22;21;Ростов;9;;28;13;4;11;36;31;50;47;44;43;39;38;31
2020-2021;29-й тур;ЦСКА;Краснодар;3;1;Матч завершен 8 мая 2021;1хСтавка;1.81;4.65;3.78;2.45;1.58;Winline;1.83;4.12;4.06;2.39;1.59;Fonbet;1.95;4.20;3.40;2.35;1.60;Российская Премьер-лига 2020-2021;26.08.20;Краснодар;ЦСКА;1;1;Российская Премьер-лига 2019-2020;07.12.19;Краснодар;ЦСКА;1;1;Российская Премьер-лига 2019-2020;22.09.19;ЦСКА;Краснодар;3;2;Кубок Париматч Премьер 2019;27.06.19;Краснодар;ЦСКА;1;0;Российская Премьер-лига 2018-2019;28.04.19;Краснодар;ЦСКА;2;0;01.05.21;ЦСКА;Уфа;1;1;25.04.21;Спартак;ЦСКА;1;0;18.04.21;Сочи;ЦСКА;2;1;12.04.21;ЦСКА;Ротор;2;0;04.04.21;Тамбов;ЦСКА;1;2;17.03.21;ЦСКА;Зенит;2;3;13.03.21;АрсеналТула;ЦСКА;2;1;01.05.21;Краснодар;Сочи;1;3;25.04.21;Рубин;Краснодар;0;1;17.04.21;Краснодар;Зенит;2;2;11.04.21;АрсеналТула;Краснодар;1;0;03.04.21;Краснодар;Ахмат;0;5;18.03.21;Краснодар;Динамо Москва;2;3;14.03.21;Тамбов;Краснодар;0;4;ЦСКА;6;;28;14;5;9;46;29;53;52;52;47;47;44;43;Краснодар;11;;28;11;5;12;48;41;44;43;39;38;31;23;22
2020-2021;29-й тур;Локомотив;Динамо Москва;0;0;Матч завершен 8 мая 2021;1хСтавка;2.56;3.33;2.95;1.95;1.95;Winline;2.79;3.29;2.61;1.82;2.02;Fonbet;2.65;3.40;2.65;1.85;1.95;Российская Премьер-лига 2020-2021;08.11.20;Динамо Москва;Локомотив;5;1;Российская Премьер-лига 2019-2020;01.12.19;Локомотив;Динамо Москва;1;2;Российская Премьер-лига 2019-2020;18.08.19;Динамо Москва;Локомотив;1;2;Российская Премьер-лига 2018-2019;30.03.19;Динамо Москва;Локомотив;0;1;Российская Премьер-лига 2018-2019;14.09.18;Локомотив;Динамо Москва;1;1;02.05.21;Зенит;Локомотив;6;1;24.04.21;Тамбов;Локомотив;2;5;17.04.21;Локомотив;Ростов;4;1;11.04.21;Локомотив;Спартак;2;0;03.04.21;Ротор;Локомотив;0;2;18.03.21;Уфа;Локомотив;0;1;14.03.21;Локомотив;Сочи;3;1;01.05.21;Рубин;Динамо Москва;2;0;24.04.21;ДинамоМосква;Химки;0;1;17.04.21;Ротор;Динамо Москва;0;3;11.04.21;ДинамоМосква;Урал;2;2;03.04.21;ДинамоМосква;Уфа;4;0;18.03.21;Краснодар;Динамо Москва;2;3;13.03.21;ДинамоМосква;Спартак;1;2;Локомотив;3;Лига Европы;28;16;4;8;44;35;0;62;53;52;52;49;47;Динамо Москва;7;;28;14;4;10;41;31;52;49;47;46;44;43;39
2020-2021;29-й тур;Арсенал Тула;Рубин;2;4;Матч завершен 8 мая 2021 ;1хСтавка;2.76;3.27;2.76;1.50;2.66;Winline;2.77;3.01;2.77;1.52;2.45;Fonbet;3.20;3.30;2.35;1.67;2.20;Российская Премьер-лига 2020-2021;31.10.20;Рубин;Арсенал Тула;3;1;Российская Премьер-лига 2019-2020;14.03.20;Арсенал Тула;Рубин;0;1;Российская Премьер-лига 2019-2020;18.08.19;Рубин;Арсенал Тула;1;0;Российская Премьер-лига 2018-2019;07.04.19;Рубин;Арсенал Тула;0;0;Российская Премьер-лига 2018-2019;22.09.18;Арсенал Тула;Рубин;2;2;03.05.21;АрсеналТула;Спартак;1;2;25.04.21;Ростов;Арсенал Тула;1;0;18.04.21;АрсеналТула;Тамбов;4;0;11.04.21;АрсеналТула;Краснодар;1;0;04.04.21;Урал;Арсенал Тула;2;0;17.03.21;Ахмат;Арсенал Тула;2;0;13.03.21;АрсеналТула;ЦСКА;2;1;01.05.21;Рубин;Динамо Москва;2;0;25.04.21;Рубин;Краснодар;0;1;18.04.21;Урал;Рубин;0;1;10.04.21;Ростов;Рубин;0;1;03.04.21;Рубин;Сочи;1;0;19.03.21;Рубин;Химки;1;3;14.03.21;Уфа;Рубин;0;3;Арсенал Тула;13;;28;6;5;17;25;45;39;38;31;23;22;21;13;Рубин;5;Лига конференций;28;15;4;9;37;30;53;52;52;49;47;46;44
2020-2021;29-й тур;Уфа;Зенит;0;0;Матч завершен 8 мая 2021 ;1хСтавка;3.85;3.74;1.99;2.15;1.78;Winline;3.53;3.66;2.05;2.03;1.81;Fonbet;3.50;4.00;2.00;2.20;1.67;Российская Премьер-лига 2020-2021;26.09.20;Зенит;Уфа;6;0;Российская Премьер-лига 2019-2020;09.03.20;Зенит;Уфа;0;0;Российская Премьер-лига 2019-2020;24.08.19;Уфа;Зенит;1;0;Российская Премьер-лига 2018-2019;10.03.19;Зенит;Уфа;2;1;Российская Премьер-лига 2018-2019;26.08.18;Уфа;Зенит;0;2;01.05.21;ЦСКА;Уфа;1;1;25.04.21;Уфа;Сочи;2;3;18.04.21;Спартак;Уфа;0;3;10.04.21;Уфа;Ахмат;3;0;03.04.21;ДинамоМосква;Уфа;4;0;18.03.21;Уфа;Локомотив;0;1;14.03.21;Уфа;Рубин;0;3;02.05.21;Зенит;Локомотив;6;1;24.04.21;Зенит;Ротор;6;0;17.04.21;Краснодар;Зенит;2;2;11.04.21;Сочи;Зенит;1;2;05.04.21;Зенит;Химки;2;0;17.03.21;ЦСКА;Зенит;2;3;13.03.21;Зенит;Ахмат;4;0;Уфа;15;Вылет в ФНЛ;28;5;6;17;24;45;31;23;21;21;13;0;0;Зенит;1;Лига Чемпионов;28;18;7;3;71;25;0;0;0;61;53;52;52
2020-2021;29-й тур;Сочи;Ротор;2;1;Матч завершен 7 мая 2021;1хСтавка;1.36;5.02;10.80;2.05;1.86;Winline;1.35;4.99;8.58;2.04;1.78;Fonbet;1.33;5.10;9.50;2.10;1.75;Российская Премьер-лига 2020-2021;22.08.20;Ротор;Сочи;1;2;ФНЛ 2018-2019;14.11.18;Сочи;Ротор;4;2;ФНЛ 2018-2019;04.08.18;Ротор;Сочи;1;1;ФНЛ 2017-2018;08.11.17;Ротор;Сочи;0;0;ФНЛ 2017-2018;26.07.17;Сочи;Ротор;0;3;01.05.21;Краснодар;Сочи;1;3;25.04.21;Уфа;Сочи;2;3;18.04.21;Сочи;ЦСКА;2;1;11.04.21;Сочи;Зенит;1;2;03.04.21;Рубин;Сочи;1;0;19.03.21;Сочи;Тамбов;5;0;14.03.21;Локомотив;Сочи;3;1;01.05.21;Ротор;Ахмат;1;0;24.04.21;Зенит;Ротор;6;0;17.04.21;Ротор;Динамо Москва;0;3;12.04.21;ЦСКА;Ротор;2;0;03.04.21;Ротор;Локомотив;0;2;17.03.21;Ротор;Ростов;0;4;13.03.21;Урал;Ротор;1;0;Сочи;5;Лига конференций;28;14;7;7;47;32;53;52;49;49;47;46;44;Ротор;14;;28;5;6;17;13;49;38;31;23;21;21;13;0
2020-2021;29-й тур;Ахмат;Тамбов;3;1;Матч завершен 7 мая 2021;1хСтавка;1.09;12.50;31.00 ;3.10;1.35;Winline;1.06;13.00;29.00;3.46;1.26;Fonbet;1.08;12.00;22.00;—;—;Российская Премьер-лига 2020-2021;07.11.20;Тамбов;Ахмат;0;1;Российская Премьер-лига 2019-2020;07.07.20;Тамбов;Ахмат;1;2;Российская Премьер-лига 2019-2020;31.08.19;Ахмат;Тамбов;1;1;0;0;0;0;0;0;0;0;0;0;0;0;01.05.21;Ротор;Ахмат;1;0;24.04.21;Урал;Ахмат;1;1;17.04.21;Ахмат;Химки;3;1;10.04.21;Уфа;Ахмат;3;0;03.04.21;Краснодар;Ахмат;0;5;17.03.21;Ахмат;Арсенал Тула;2;0;13.03.21;Зенит;Ахмат;4;0;02.05.21;Ростов;Тамбов;2;0;24.04.21;Тамбов;Локомотив;2;5;18.04.21;АрсеналТула;Тамбов;4;0;10.04.21;Химки;Тамбов;1;0;04.04.21;Тамбов;ЦСКА;1;2;19.03.21;Сочи;Тамбов;5;0;14.03.21;Тамбов;Краснодар;0;4;Ахмат;11;;28;10;6;12;31;35;44;43;38;36;31;23;21;Тамбов;16;Вылет в ФНЛ;28;3;4;21;17;57;23;21;21;13;0;0;0
2020-2021;28-й тур;Арсенал Тула;Спартак;1;2;Матч завершен 3 мая 2021;1хСтавка;5.24;3.94;1.70;1.95;1.95;Winline;4.63;3.84;1.76;1.88;1.95;Fonbet;4.70;3.85;1.72;1.85;1.95;Российская Премьер-лига 2020-2021;29.08.20;Спартак;Арсенал Тула;2;1;Российская Премьер-лига 2019-2020;20.06.20;Арсенал Тула;Спартак;2;3;Российская Премьер-лига 2019-2020;04.11.19;Спартак;Арсенал Тула;0;1;Российская Премьер-лига 2018-2019;25.04.19;Арсенал Тула;Спартак;3;0;Российская Премьер-лига 2018-2019;21.10.18;Спартак;Арсенал Тула;2;3;25.04.21;Ростов;Арсенал Тула;1;0;18.04.21;АрсеналТула;Тамбов;4;0;11.04.21;АрсеналТула;Краснодар;1;0;04.04.21;Урал;Арсенал Тула;2;0;17.03.21;Ахмат;Арсенал Тула;2;0;13.03.21;АрсеналТула;ЦСКА;2;1;08.03.21;АрсеналТула;Локомотив;0;3;25.04.21;Спартак;ЦСКА;1;0;18.04.21;Спартак;Уфа;0;3;11.04.21;Локомотив;Спартак;2;0;04.04.21;Ростов;Спартак;2;3;18.03.21;Спартак;Урал;5;1;13.03.21;ДинамоМосква;Спартак;1;2;07.03.21;Спартак;Краснодар;6;1;Арсенал Тула;13;;27;6;5;16;24;43;38;36;31;23;21;21;13;Спартак;3;Лига Европы;27;15;5;7;50;33;0;61;52;50;49;49;47
2020-2021;28-й тур;Зенит;Локомотив;6;1;Матч завершен 2 мая 2021;1хСтавка;1.42;5.15;7.61;2.53;1.55;Winline;1.44;5.13;6.91;2.53;1.54;Fonbet;1.53;5.00;5.80;2.35;1.60;Российская Премьер-лига 2020-2021;30.08.20;Локомотив;Зенит;0;0;Суперкубок России 2020;07.08.20;Зенит;Локомотив;2;1;Российская Премьер-лига 2019-2020;29.02.20;Зенит;Локомотив;0;0;Российская Премьер-лига 2019-2020;28.09.19;Локомотив;Зенит;1;0;Суперкубок России 2019;06.07.19;Зенит;Локомотив;2;3;24.04.21;Зенит;Ротор;6;0;17.04.21;Краснодар;Зенит;2;2;11.04.21;Сочи;Зенит;1;2;05.04.21;Зенит;Химки;2;0;17.03.21;ЦСКА;Зенит;2;3;13.03.21;Зенит;Ахмат;4;0;08.03.21;Рубин;Зенит;2;1;24.04.21;Тамбов;Локомотив;2;5;17.04.21;Локомотив;Ростов;4;1;11.04.21;Локомотив;Спартак;2;0;03.04.21;Ротор;Локомотив;0;2;18.03.21;Уфа;Локомотив;0;1;14.03.21;Локомотив;Сочи;3;1;08.03.21;АрсеналТула;Локомотив;0;3;Зенит;1;Лига Чемпионов;27;17;7;3;65;24;0;0;0;58;52;50;49;Локомотив;2;Лига Чемпионов;27;16;4;7;43;29;0;0;58;52;50;49;49
